Time,Packet ID,From Node,To Node,Port,Port Name,Payload
2026-03-14T17:58:45.481Z,3318438489,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T17:59:03.974Z,1563113115,3562713424,4294967295,3,Position,"latitude_i: 374715480 longitude_i: -1221380916 altitude: 6260 time: 1773511143 location_source: LOC_INTERNAL timestamp: 1773511143 PDOP: 98 ground_speed: 88 ground_track: 16101000 sats_in_view: 20 precision_bits: 32"
2026-03-14T17:59:24.029Z,1424338672,1927931577,3562713424,70,Traceroute,""
2026-03-14T17:59:29.032Z,2936621724,3562713424,1927931577,70,Traceroute,"route: 382652512 route: 514322367 route: 846610502 route: 2733208196 route: 1737044900 snr_towards: -39 snr_towards: -20 snr_towards: -27 snr_towards: -1 snr_towards: -44 snr_towards: -37"
2026-03-14T17:59:35.291Z,895453853,3562713424,4294967295,3,Position,"latitude_i: 374659405 longitude_i: -1221343598 altitude: 6327 time: 1773511174 location_source: LOC_INTERNAL timestamp: 1773511174 PDOP: 98 ground_speed: 74 ground_track: 15353000 sats_in_view: 20 precision_bits: 32"
2026-03-14T17:59:49.275Z,3318438494,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T17:59:56.864Z,3318438496,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:02.970Z,3318438497,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:06.323Z,1711322783,3562713424,4294967295,3,Position,"latitude_i: 374603850 longitude_i: -1221307103 altitude: 6387 time: 1773511205 location_source: LOC_INTERNAL timestamp: 1773511205 PDOP: 98 ground_speed: 69 ground_track: 15643000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:00:07.708Z,3318438498,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:17.130Z,3318438499,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:25.451Z,3318438501,602477924,3562713424,4,Node Info,"id: ""!23e91564"" long_name: ""赤キツネ"" short_name: ""狐"" macaddr: ""\337\275#\351\025d"" hw_model: XIAO_NRF52_KIT role: CLIENT_MUTE public_key: ""\222[\276\323\223|_\301\203\321\332\226\373\276m\257\2668k\307\254Q:L|\346\243\024\205\204h}"" is_unmessagable: false"
2026-03-14T18:00:34.515Z,3655403168,3562713424,2476372156,70,Traceroute,"route: 873538553 route: 479067255 route: 917262690 route: 2688057240 snr_towards: -12 snr_towards: 5 snr_towards: -10 snr_towards: -53 snr_towards: -2"
2026-03-14T18:00:35.495Z,3344113526,2476372156,3562713424,70,Traceroute,"route: 873538553 route: 479067255 route: 846610502 route: 2687837700 route: 2733208196 snr_towards: -12 snr_towards: 5 snr_towards: -10 snr_towards: 0 snr_towards: -16"
